ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 13:25:09,4147.0,79.0,4068.0,233.6,233.55,233.6,233.575
2024-10-22 13:25:10,4698.0,14060.0,-9362.0,233.63,233.5,233.63,233.565
2024-10-22 13:25:11,0.0,4230.0,-4230.0,233.62,233.5,233.62,233.56
2024-10-22 13:25:12,0.0,200.0,-200.0,233.6,233.5,233.62,233.56
2024-10-22 13:25:13,0.0,171.0,-171.0,233.61,233.5,233.61,233.555
2024-10-22 13:25:14,10.0,6341.0,-6331.0,233.63,233.52,233.74,233.63
2024-10-22 13:25:15,200.0,4012.0,-3812.0,233.55,233.55,233.74,233.645
2024-10-22 13:25:16,2200.0,2300.0,-100.0,233.55,233.52,233.74,233.63
2024-10-22 13:25:18,4831.0,4509.0,322.0,233.52,233.52,233.74,233.63
2024-10-22 13:25:20,2500.0,24.0,2476.0,233.56,233.56,233.74,233.65
2024-10-22 13:25:23,2150.0,211.0,1939.0,233.73,233.65,233.73,233.69
2024-10-22 13:25:26,2289.0,10830.0,-8541.0,233.62,233.52,233.74,233.63
2024-10-22 13:25:27,8200.0,2008.0,6192.0,233.58,233.52,233.74,233.63
2024-10-22 13:25:28,0.0,4730.0,-4730.0,233.69,233.52,233.69,233.605
2024-10-22 13:25:29,50.0,2272.0,-2222.0,233.7,233.52,233.7,233.61
2024-10-22 13:25:30,300.0,118.0,182.0,233.68,233.52,233.7,233.61
2024-10-22 13:25:31,300.0,2300.0,-2000.0,233.53,233.52,233.7,233.61
2024-10-22 13:25:34,2100.0,6218.0,-4118.0,233.69,233.53,233.7,233.615
2024-10-22 13:25:35,2100.0,2005.0,95.0,233.53,233.52,233.7,233.61
2024-10-22 13:25:38,300.0,0.0,300.0,233.53,233.53,233.7,233.615
2024-10-22 13:25:39,110.0,8.0,102.0,233.6,233.6,233.7,233.65
2024-10-22 13:25:40,19.0,316.0,-297.0,233.7,233.6,233.7,233.65
2024-10-22 13:25:41,0.0,111.0,-111.0,233.7,233.6,233.7,233.65
2024-10-22 13:25:45,0.0,0.0,0.0,233.69,233.6,233.7,233.65
2024-10-22 13:25:46,2924.0,2259.0,665.0,233.69,233.6,233.69,233.645
2024-10-22 13:25:47,5025.0,2300.0,2725.0,233.61,233.6,233.7,233.65
2024-10-22 13:25:49,2000.0,100.0,1900.0,233.61,233.6,233.7,233.65
2024-10-22 13:25:55,4200.0,0.0,4200.0,233.6,233.6,233.7,233.65
2024-10-22 13:25:57,2424.0,6154.0,-3730.0,233.63,233.6,233.7,233.65
2024-10-22 13:25:58,2100.0,8192.0,-6092.0,233.69,233.6,233.69,233.645
2024-10-22 13:26:00,1105.0,9433.0,-8328.0,233.62,233.55,233.62,233.585
2024-10-22 13:26:02,666.0,738.0,-72.0,233.61,233.55,233.62,233.585
2024-10-22 13:26:05,0.0,0.0,0.0,233.59,233.55,233.62,233.585
2024-10-22 13:26:11,200.0,6716.0,-6516.0,233.6,233.55,233.6,233.575
2024-10-22 13:26:12,852.0,3124.0,-2272.0,233.67,233.55,233.67,233.61
2024-10-22 13:26:13,8.0,108.0,-100.0,233.67,233.55,233.67,233.61
2024-10-22 13:26:15,30.0,0.0,30.0,233.55,233.53,233.67,233.6
2024-10-22 13:26:16,100.0,2000.0,-1900.0,233.53,233.53,233.67,233.6
2024-10-22 13:26:18,458.0,5384.0,-4926.0,233.7,233.53,233.7,233.615
2024-10-22 13:26:19,594.0,4438.0,-3844.0,233.68,233.53,233.69,233.61
2024-10-22 13:26:20,4974.0,4520.0,454.0,233.56,233.53,233.7,233.615
2024-10-22 13:26:21,8.0,4582.0,-4574.0,233.53,233.53,233.68,233.605
2024-10-22 13:26:27,200.0,0.0,200.0,233.53,233.53,233.68,233.605
2024-10-22 13:26:29,300.0,2390.0,-2090.0,233.67,233.53,233.7,233.615
2024-10-22 13:26:30,100.0,0.0,100.0,233.53,233.52,233.7,233.61
2024-10-22 13:26:33,0.0,100.0,-100.0,233.7,233.52,233.7,233.61
2024-10-22 13:26:38,0.0,4620.0,-4620.0,233.6,233.52,233.64,233.58
2024-10-22 13:26:39,200.0,100.0,100.0,233.57,233.57,233.64,233.605
2024-10-22 13:26:41,18.0,128.0,-110.0,233.63,233.57,233.64,233.605
2024-10-22 13:26:44,30.0,0.0,30.0,233.59,233.59,233.64,233.615
2024-10-22 13:26:45,0.0,450.0,-450.0,233.62,233.59,233.62,233.605
2024-10-22 13:26:46,60.0,2718.0,-2658.0,233.61,233.57,233.61,233.59
2024-10-22 13:26:50,200.0,4188.0,-3988.0,233.61,233.57,233.62,233.595
2024-10-22 13:26:51,2708.0,2600.0,108.0,233.58,233.57,233.63,233.6
2024-10-22 13:26:54,2956.0,4500.0,-1544.0,233.58,233.57,233.69,233.63
2024-10-22 13:26:56,2200.0,0.0,2200.0,233.63,233.63,233.69,233.66
2024-10-22 13:26:57,100.0,2200.0,-2100.0,233.69,233.63,233.69,233.66
2024-10-22 13:26:58,400.0,708.0,-308.0,233.68,233.63,233.68,233.655
2024-10-22 13:26:59,0.0,101.0,-101.0,233.68,233.63,233.68,233.655
2024-10-22 13:27:00,0.0,2201.0,-2201.0,233.67,233.63,233.67,233.65
2024-10-22 13:27:01,700.0,4987.0,-4287.0,233.63,233.62,233.63,233.625
2024-10-22 13:27:02,24.0,124.0,-100.0,233.63,233.62,233.63,233.625
2024-10-22 13:27:03,564.0,264.0,300.0,233.62,233.62,233.63,233.625
2024-10-22 13:27:04,10.0,20.0,-10.0,233.63,233.62,233.63,233.625
2024-10-22 13:27:05,4336.0,176.0,4160.0,233.62,233.57,233.63,233.6
2024-10-22 13:27:06,0.0,444.0,-444.0,233.62,233.57,233.62,233.595
2024-10-22 13:27:07,2220.0,6874.0,-4654.0,233.53,233.5,233.54,233.52
2024-10-22 13:27:08,4162.0,8926.0,-4764.0,233.45,233.39,233.45,233.42
2024-10-22 13:27:09,1.0,2102.0,-2101.0,233.45,233.39,233.45,233.42
2024-10-22 13:27:10,5009.0,4734.0,275.0,233.65,233.39,233.7,233.545
2024-10-22 13:27:12,0.0,4101.0,-4101.0,233.45,233.39,233.45,233.42
2024-10-22 13:27:14,0.0,2117.0,-2117.0,233.53,233.39,233.7,233.545
2024-10-22 13:27:17,400.0,3000.0,-2600.0,233.42,233.39,233.7,233.545
2024-10-22 13:27:18,4408.0,3322.0,1086.0,233.52,233.39,233.7,233.545
2024-10-22 13:27:22,300.0,2200.0,-1900.0,233.65,233.39,233.7,233.545
